Address,lon,lat,time_to_next,order
"10 East 38 Street, New York, NY 10016",-73.981991,40.750381,2288.3,6
"42 East 20 Street, New York, NY 10003",-73.988377,40.738397,968.07,4
"167 Payson Avenue, New York, NY 10034",-73.926916,40.868011,186.45,2
"38 West 75 Street, New York, NY 10023",-73.97639,40.77867,393.11,8
"458 West 20 Street, New York, NY 10011",-74.005163,40.745409,305.0,3
"1072 Riverside Drive, New York, NY 10032",-73.943561,40.842986,5.28,5
"60 East 34 Street, New York, NY 10016",-73.982116,40.747173,101.86,0
"330 East 74 Street, New York, NY 10021",-73.956358,40.769496,799.75,7
"14 7 Avenue South, New York, NY 10014",-74.003268,40.733067,1898.89,9
"819 1 Avenue, New York, NY 10017",-73.930495,40.802492,3973.6,1
"10 East 38 Street, New York, NY 10016",-73.981991,40.750381,0.0,6
