,0,1,2,3,4,5,6,7,8,9
0,0.0,1421.84,371.32,429.66,1164.09,151.88,3166.81,101.86,508.8,791.18
1,1439.67,0.0,1653.83,1613.95,2122.99,1434.39,3973.6,1419.36,1713.87,1877.99
2,337.85,1665.17,0.0,299.67,980.12,332.57,3238.27,379.84,186.45,483.67
3,310.28,1555.44,291.43,0.0,1166.05,305.0,3412.89,347.93,285.3,683.55
4,1128.71,2232.77,968.07,1195.31,0.0,1123.43,2295.26,1210.92,1056.04,1332.17
5,5.28,1427.12,376.6,434.94,1169.37,0.0,3172.09,107.14,514.09,796.46
6,3327.29,4116.77,3183.58,3410.82,2288.3,3322.01,0.0,3333.52,3271.55,3547.68
7,165.74,1430.42,379.9,477.43,1172.67,160.46,3175.39,0.0,517.38,799.75
8,461.77,1673.07,196.35,393.11,1075.8,456.49,3318.09,503.76,0.0,608.42
9,778.26,1898.89,591.02,667.66,1450.92,772.98,3590.91,815.92,699.53,0.0
